,dialect,translation,(language/dialect)
0,nta akara,i am eating akara ,(generic Ibibio)
1,ikpong,cocoyam ,(generic Ibibio)
2,ye,and ,(generic Ibibio)
3,ye,with ,(generic Ibibio)
4,mme,and ,(generic Ibibio)
5,mme,with ,(generic Ibibio)
6,ekese,several ,(Efik-Ibibio)
7,ekese,others ,(Efik-Ibibio)
8,ufafran,fried ,(generic Ibibio)
9,mkpo,thing ,(generic Ibibio)
10,mkpo,noise ,(generic Ibibio)
11,nkpo,thing ,(generic Ibibio)
12,imino abasi ekom ke usen mfin,we thank god for today ,(generic Ibibio)
13,imi,we ,(generic Ibibio)
14,imino,we give ,(generic Ibibio)
15,abasi,god ,(generic Ibibio)
16,ekom,thanks ,(generic Ibibio)
17,ekom,greetings ,(generic Ibibio)
18,ekom,courtesy ,(generic Ibibio)
19,ke,for ,(generic Ibibio)
20,ke,at ,(generic Ibibio)
21,usen,day ,(generic Ibibio)
22,mfin,today ,(generic Ibibio)
23,adika uke utom amasuana,where will you go after work ,(generic Ibibio)
24,adika,are you leaving ,(generic Ibibio)
25,adika,are you going ,(generic Ibibio)
26,dika,be leaving ,(generic Ibibio)
27,dika,be going ,(generic Ibibio)
28,ka,go ,(generic Ibibio)
29,uke,where ,(generic Ibibio)
30,utom,work ,(generic Ibibio)
31,utom,job ,(generic Ibibio)
32,utom,service ,(generic Ibibio)
33,amasuana,when you dismiss ,(generic Ibibio)
34,amasuana,when you disperse ,(generic Ibibio)
35,ama,loved one ,(generic Ibibio)
36,ama,do you ,(generic Ibibio)
37,ama,you did ,(generic Ibibio)
38,oyom nnam nso nno fi,what should i do for you ,(Efik-Ibibio)
39,oyom nam so no fi,what should i do for you ,(Efik-Ibibio)
40,oyom,you wish ,(Efik-Ibibio)
41,nam,do ,(generic Ibibio)
42,nam,act ,(generic Ibibio)
43,nnam,do i ,(generic Ibibio)
44,nnam,plague ,(generic Ibibio)
45,di bo unen dep ke nam happy hour ye owo mfo,come buy chicken for happy hour with your mate ,(generic Ibibio)
46,di,come ,(generic Ibibio)
47,bo,take ,(generic Ibibio)
48,unen,fowl ,(generic Ibibio)
49,unen,chicken ,(generic Ibibio)
50,dep,buy ,(generic Ibibio)
51,dep,purchase ,(generic Ibibio)
52,owo,human ,(generic Ibibio)
53,owo,person ,(generic Ibibio)
54,mfo,yours ,(generic Ibibio)
55,amekeme ikpe okuk etem peppersoup uno utuondo,you can hire a peppersoup vendor rather ,(generic Ibibio)
56,amekeme,you can ,(generic Ibibio)
57,amekeme,you are able ,(generic Ibibio)
58,ikpe,litigate ,(generic Ibibio)
59,kpe,pay ,(generic Ibibio)
60,okuk,money ,(generic Ibibio)
61,etem,condiment ,(generic Ibibio)
62,uno,for you ,(generic Ibibio)
63,utuondo,rather ,(generic Ibibio)
64,utuondo,alternatively ,(generic Ibibio)
65,utuondo,otherwise ,(generic Ibibio)
66,ke mia udobot ufia,go slap a policeman ,(generic Ibibio)
67,mbom atata mbom,woeful real woeful ,(generic Ibibio)
68,mbom,mercy ,(generic Ibibio)
69,mbom,pity ,(generic Ibibio)
70,uduk,pity ,(generic Ibibio)
71,uduk,sympathy ,(generic Ibibio)
72,atata,real deep ,(generic Ibibio)
73,ata,real ,(generic Ibibio)
74,mia,beat ,(generic Ibibio)
75,udobot,police ,(generic Ibibio)
76,ufia,slap ,(generic Ibibio)
77,ufia,fourth or fifth son ,(generic Ibibio)
78,nyom ono mien okuk,i wish you give me money ,(generic Ibibio)
79,nyom,i want ,(generic Ibibio)
80,usung,door,(generic Ibibio)
81,usung,road,(generic Ibibio)
82,usung,way,(generic Ibibio)
83,usung,fufu,(generic Ibibio)
84,usung,thick,(generic Ibibio)
85,obong,lord,(generic Ibibio)
86,obong,ruler,(generic Ibibio)
87,obong,king,(generic Ibibio)
88,obong,chief,(generic Ibibio)
89,obong,shout,(generic Ibibio)
90,obong,mosquito,(generic Ibibio)
91,obong,cane,(generic Ibibio)
92,mme,or,(generic Ibibio)
93,ekong,war,(generic Ibibio)
94,ekong,hangers on,(generic Ibibio)
95,ekong,knockers,(generic Ibibio)
96,ekong,knackers,(generic Ibibio)
97,tim,beat ,(generic Ibibio)
98,tim,pound,(generic Ibibio)
99,tim,keep well,(generic Ibibio)
100,kang,deny,(generic Ibibio)
101,kang,dry-heating,(generic Ibibio)
102,ukot,in-law,(generic Ibibio)
103,ukot,leg,(generic Ibibio)
104,demme,wake,(generic Ibibio)
105,deme,share,(generic Ibibio)
106,deme,ignore,(generic Ibibio)
107,deme,overlook,(generic Ibibio)
108,akpan,first son,(generic Ibibio)
109,akpan,loaded basket,(generic Ibibio)
110,ekpat,bag,(generic Ibibio)
111,ekpat,log,(generic Ibibio)
112,iyire,net,(generic Ibibio)
113,ukem,same,(generic Ibibio)
114,ukem,you are contented,(generic Ibibio)
115,okwok,bee,(generic Ibibio)
116,okwok,grater,(generic Ibibio)
117,okwok,sweeper,(generic Ibibio)
118,okok,chewing stick,(generic Ibibio)
119,okok,toothpick,(generic Ibibio)
120,okok,grinding,(generic Ibibio)
121,okok,vomiting,(generic Ibibio)
122,ofiong,moon,(generic Ibibio)
123,ofiong,month,(generic Ibibio)
124,ado,is,(generic Ibibio)
125,okpo,bone,(generic Ibibio)
126,okpo,rubber,(generic Ibibio)
127,okpo,plastic,(generic Ibibio)
128,abang,pot,(generic Ibibio)
129,abat,it is dirty,(generic Ibibio)
130,abat,counter,(generic Ibibio)
131,abat,thickened,(generic Ibibio)
132,ata,chew,(generic Ibibio)
133,ata,bet,(generic Ibibio)
134,ata,burn,(generic Ibibio)
135,ata,pro,(generic Ibibio)
136,ekpeme,guard,(generic Ibibio)
137,ekpeme,bottle,(generic Ibibio)
138,ekpe,lion,(generic Ibibio)
139,ekpe,they pay,(generic Ibibio)
140,ekwak,they clap,(generic Ibibio)
141,isin,waist,(generic Ibibio)
142,isin,we reject,(generic Ibibio)
143,isin,we put,(generic Ibibio)
144,ikwo,song,(generic Ibibio)
145,ikwo ikwo,let us sing,(generic Ibibio)
146,ikwo,songs,(generic Ibibio)
147,iwa,cassava,(generic Ibibio)
148,iwa,we sacrifice,(generic Ibibio)
149,obu,dust,(generic Ibibio)
150,obu,crayfish,(generic Ibibio)
151,obu,decay,(generic Ibibio)
152,udok,hoe,(generic Ibibio)
153,udok,door,(generic Ibibio)
154,ubom,canoe,(generic Ibibio)
155,ubom,fat,(generic Ibibio)
156,ubom,breadth,(generic Ibibio)
157,unen,fowl ,(generic Ibibio)
158,unen,right,(generic Ibibio)
159,bak,split,(generic Ibibio)
160,bak,slice,(generic Ibibio)
161,bak,beware,(generic Ibibio)
162,bak,be early,(generic Ibibio)
163,obot,creator,(generic Ibibio)
164,obot,hill,(generic Ibibio)
165,obot,mountain,(generic Ibibio)
166,obot,nature,(generic Ibibio)
167,fuud,blow,(generic Ibibio)
168,fuud,clear,(generic Ibibio)
169,fuud,fold,(generic Ibibio)
170,bop,build,(generic Ibibio)
171,bop ,tie,(generic Ibibio)
172,bop,tight,(generic Ibibio)
173,kok,grind,(generic Ibibio)
174,kok,vomit,(generic Ibibio)
175,sin,put,(generic Ibibio)
176,sin,reject,(generic Ibibio)
177,yed,wash,(generic Ibibio)
178,yed,dissolve,(generic Ibibio)
179,tem,boil,(generic Ibibio)
180,tem,clear,(generic Ibibio)
181,tem,sit,(generic Ibibio)
182,edong,knee,(generic Ibibio)
183,edong,sheep,(generic Ibibio)
184,edong,put in,(generic Ibibio)
185,duok,pour,(generic Ibibio)
186,duok,lose,(generic Ibibio)
187,duok,throwaway,(generic Ibibio)
188,nsungikang,smoke,(generic Ibibio)
189,nsungikang,ship,(generic Ibibio)
190,mbiet,grass,(generic Ibibio)
191,mbiet,semblance,(generic Ibibio)
192,anye ami ado ntá»á»ngá» ubon ,this is the genealogya of ,(generic Ibibio)
193,anye ami,this is,(generic Ibibio)
194,anye,that,(generic Ibibio)
195,anye,he,(generic Ibibio)
196,anye,her,(generic Ibibio)
197,anye,it,(generic Ibibio)
198,anye,this,(generic Ibibio)
199,anye ado,that is,(generic Ibibio)
200,ami,this,(generic Ibibio)
201,ando,that,(generic Ibibio)
202,adado,that is,(generic Ibibio)
203,ntongo,begining,(generic Ibibio)
204,ubon,genealogy,(generic Ibibio)
205,ubon,tribe,(generic Ibibio)
206,ubon,kindred,(generic Ibibio)
207,oruk,kindred,(Efik-Ibibio)
208,iman,kin,(generic Ibibio)
209,ayin,child,(generic Ibibio)
210,ke ini,when,(generic Ibibio)
211,ke ini,in time,(generic Ibibio)
212,kini,when,(Efik-Ibibio)
213,kini,in time,(Efik-Ibibio)
214,amaakemana ke,was birthed at,(generic Ibibio)
215,amaakemana ke,was birthed in,(generic Ibibio)
216,amaakemana,was birthed,(generic Ibibio)
217,ke,at ,(generic Ibibio)
218,ke,in,(generic Ibibio)
219,ama,was,(generic Ibibio)
220,akemana,birthed,(generic Ibibio)
221,asiere,goodnight,(generic Ibibio)
222,esiere,goodnight,(Efik-Ibibio)
223,achiere,goodnight,(Annang-Ibibio)
224,inikied,once,(generic Ibibio)
225,do,there,(generic Ibibio)
226,kuwem,live,(generic Ibibio)
227,aduwem,alive,(generic Ibibio)
228,uyen,young,(generic Ibibio)
229,anying,name,(generic Ibibio)
230,akere,named,(generic Ibibio)
231,amo,his,(generic Ibibio)
232,amo,her,(generic Ibibio)
233,mmo,they,(generic Ibibio)
234,mmo,theirs,(generic Ibibio)
235,amo,she,(generic Ibibio)
236,amo,his,(generic Ibibio)
237,asongo,older,(generic Ibibio)
238,usong,old,(generic Ibibio)
239,ayineka awonwan,sister,(generic Ibibio)
240,ayineka awoden,brother,(generic Ibibio)
241,ette,father,(generic Ibibio)
242,ette,dad,(generic Ibibio)
243,eka,mother,(generic Ibibio)
244,eka,mom,(generic Ibibio)
245,ayineka eka awonwan,aunt,(generic Ibibio)
246,ayineka ette awonwan,aunt,(generic Ibibio)
247,ayineka eka awoden,uncle,(generic Ibibio)
248,ayineka ette awoden,uncle,(generic Ibibio)
249,ayinette ekammi awonwan,aunt,(generic Ibibio)
250,ayinette ettemmi awonwan,aunt,(generic Ibibio)
251,ayinette ekammi awoden,uncle,(generic Ibibio)
252,ayinette ettemmi awoden,uncle,(generic Ibibio)
253,adoko,told,(generic Ibibio)
254,andoko,told me,(generic Ibibio)
255,mbuk,story,(generic Ibibio)
256,mme mbuk,stories,(generic Ibibio)
257,abanga,about,(generic Ibibio)
